"DATE","B117","SA351","P1","TOTAL","C_SUM"
"2020-12-15",1,0,0,1,1
"2020-12-16",0,0,0,0,1
"2020-12-17",1,0,0,1,2
"2020-12-18",0,0,0,0,2
"2020-12-19",0,0,0,0,2
"2020-12-20",0,0,0,0,2
"2020-12-21",1,0,0,1,3
"2020-12-22",1,0,0,1,4
"2020-12-23",1,0,0,1,5
"2020-12-24",1,0,0,1,6
"2020-12-25",0,0,0,0,6
"2020-12-26",1,0,0,1,7
"2020-12-27",0,0,0,0,7
"2020-12-28",0,0,0,0,7
"2020-12-29",0,0,0,0,7
"2020-12-30",0,0,0,0,7
"2020-12-31",0,0,0,0,7
"2021-01-01",4,0,0,4,11
"2021-01-02",1,0,0,1,12
"2021-01-03",1,1,0,2,14
"2021-01-04",1,0,0,1,15
"2021-01-05",1,0,0,1,16
"2021-01-06",1,0,0,1,17
"2021-01-07",2,1,0,3,20
"2021-01-08",1,0,0,1,21
"2021-01-09",3,0,0,3,24
"2021-01-10",0,0,0,0,24
"2021-01-11",0,0,0,0,24
"2021-01-12",2,0,0,2,26
"2021-01-13",1,0,0,1,27
"2021-01-14",1,0,0,1,28
"2021-01-15",4,1,0,5,33
"2021-01-16",6,0,0,6,39
"2021-01-17",1,1,0,2,41
"2021-01-18",1,1,0,2,43
"2021-01-19",0,0,0,0,43
"2021-01-20",2,1,0,3,46
"2021-01-21",2,0,0,2,48
"2021-01-22",3,0,0,3,51
"2021-01-23",2,0,0,2,53
"2021-01-24",1,0,0,1,54
"2021-01-25",9,1,0,10,64
"2021-01-26",0,0,0,0,64
"2021-01-27",4,0,0,4,68
"2021-01-28",12,0,0,12,80
"2021-01-29",4,0,0,4,84
"2021-01-30",6,0,0,6,90
"2021-01-31",5,0,0,5,95
"2021-02-01",7,1,0,8,103
"2021-02-02",11,0,0,11,114
"2021-02-03",7,3,0,10,124
"2021-02-04",15,0,0,15,139
"2021-02-05",22,0,0,22,161
"2021-02-06",7,0,0,7,168
"2021-02-07",5,0,0,5,173
"2021-02-08",2,0,0,2,175
"2021-02-09",13,0,0,13,188
"2021-02-10",16,0,0,16,204
"2021-02-11",10,0,0,10,214
"2021-02-12",25,0,0,25,239
"2021-02-13",8,0,0,8,247
"2021-02-14",4,0,0,4,251
"2021-02-15",7,0,0,7,258
"2021-02-16",10,0,0,10,268
"2021-02-17",8,0,0,8,276
"2021-02-18",7,0,0,7,283
"2021-02-19",15,0,0,15,298
"2021-02-20",19,0,0,19,317
"2021-02-21",11,0,0,11,328
"2021-02-22",19,0,0,19,347
"2021-02-23",24,0,0,24,371
"2021-02-24",21,0,0,21,392
"2021-02-25",32,0,0,32,424
"2021-02-26",31,1,0,32,456
"2021-02-27",16,0,0,16,472
"2021-02-28",34,1,0,35,507
"2021-03-01",14,0,0,14,521
"2021-03-02",32,2,0,34,555
"2021-03-03",26,1,0,27,582
"2021-03-04",36,0,0,36,618
"2021-03-05",29,2,0,31,649
"2021-03-06",46,0,0,46,695
"2021-03-07",32,1,0,33,728
"2021-03-08",34,0,2,36,764
"2021-03-09",47,0,0,47,811
"2021-03-10",73,0,0,73,884
"2021-03-11",58,0,0,58,942
"2021-03-12",66,0,0,66,1008
"2021-03-13",64,0,0,64,1072
"2021-03-14",75,1,1,77,1149
"2021-03-15",70,1,0,71,1220
"2021-03-16",111,0,2,113,1333
"2021-03-17",123,0,2,125,1458
"2021-03-18",192,4,2,198,1656
"2021-03-19",125,0,1,126,1782
"2021-03-20",153,0,2,155,1937
"2021-03-21",172,1,5,178,2115
"2021-03-22",165,0,6,171,2286
"2021-03-23",186,0,9,195,2481
"2021-03-24",238,0,4,242,2723
"2021-03-25",203,0,6,209,2932
"2021-03-26",243,0,12,255,3187
"2021-03-27",268,0,7,275,3462
"2021-03-28",242,0,4,246,3708
"2021-03-29",288,0,2,290,3998
"2021-03-30",426,1,14,441,4439
"2021-03-31",420,0,21,441,4880
"2021-04-01",573,1,22,596,5476
"2021-04-02",580,0,13,593,6069
"2021-04-03",521,0,13,534,6603
"2021-04-04",483,0,0,483,7086
"2021-04-05",505,0,0,505,7591
"2021-04-06",789,0,0,789,8380
"2021-04-07",799,0,0,799,9179
"2021-04-08",878,0,1,879,10058
"2021-04-09",745,1,1,747,10805
"2021-04-10",736,0,1,737,11542
"2021-04-11",664,0,4,668,12210
"2021-04-12",651,2,7,660,12870
"2021-04-13",855,0,4,859,13729
"2021-04-14",978,0,0,978,14707
"2021-04-15",990,0,0,990,15697
"2021-04-16",670,0,0,670,16367
"2021-04-17",260,0,0,260,16627
